INFO-New Info Session
INFO-[40.72888888888712, -50.311111111111074]
INFO-[41.013333333331566, -50.311111111111074]
INFO-[41.29777777777601, -50.311111111111074]
INFO-[41.58222222222046, -50.311111111111074]
INFO-[41.866666666664905, -50.311111111111074]
INFO-[42.15111111110935, -50.311111111111074]
INFO-[42.4355555555538, -50.311111111111074]
INFO-[42.719999999998244, -50.311111111111074]
INFO-[43.00444444444269, -50.311111111111074]
INFO-[43.288888888887136, -50.311111111111074]
INFO-[43.57333333333158, -50.311111111111074]
INFO-[43.85777777777603, -50.311111111111074]
INFO-[44.142222222220475, -50.311111111111074]
INFO-[44.42666666666492, -50.311111111111074]
INFO-[44.71111111110937, -50.311111111111074]
INFO-[44.995555555553814, -50.311111111111074]
INFO-[45.27999999999826, -50.311111111111074]
INFO-[45.56444444444271, -50.311111111111074]
INFO-[45.84888888888715, -50.311111111111074]
INFO-[46.1333333333316, -50.311111111111074]
INFO-[46.417777777776045, -50.311111111111074]
INFO-[46.70222222222049, -50.311111111111074]
INFO-[46.98666666666494, -50.311111111111074]
INFO-[47.271111111109384, -50.311111111111074]
INFO-[47.55555555555383, -50.311111111111074]
INFO-[47.83999999999828, -50.311111111111074]
INFO-[48.12444444444272, -50.311111111111074]
INFO-[48.40888888888717, -50.311111111111074]
INFO-[48.693333333331616, -50.311111111111074]
INFO-[48.97777777777606, -50.311111111111074]
INFO-[49.26222222222051, -50.311111111111074]
INFO-[49.546666666664954, -50.311111111111074]
INFO-[49.8311111111094, -50.311111111111074]
INFO-[50.11555555555385, -50.311111111111074]
INFO-[50.39999999999829, -50.311111111111074]
INFO-[50.68444444444274, -50.311111111111074]
INFO-[50.968888888887186, -50.311111111111074]
INFO-[51.25333333333163, -50.311111111111074]
INFO-[51.53777777777608, -50.311111111111074]
INFO-[51.822222222220525, -50.311111111111074]
INFO-[52.10666666666497, -50.311111111111074]
INFO-[52.39111111110942, -50.311111111111074]
INFO-[52.67555555555386, -50.311111111111074]
INFO-[52.95999999999831, -50.311111111111074]
INFO-[53.244444444442756, -50.311111111111074]
INFO-[53.5288888888872, -50.311111111111074]
INFO-[53.81333333333165, -50.311111111111074]
INFO-[54.097777777776095, -50.311111111111074]
INFO-[54.38222222222054, -50.311111111111074]
INFO-[54.66666666666499, -50.311111111111074]
INFO-[54.951111111109434, -50.311111111111074]
INFO-[55.23555555555388, -50.311111111111074]
INFO-[55.519999999998326, -50.311111111111074]
INFO-[55.80444444444277, -50.311111111111074]
INFO-[56.08888888888722, -50.311111111111074]
INFO-[56.373333333331665, -50.311111111111074]
INFO-[56.65777777777611, -50.311111111111074]
INFO-[56.94222222222056, -50.311111111111074]
INFO-[57.226666666665004, -50.311111111111074]
INFO-[57.51111111110945, -50.311111111111074]
INFO-[57.7955555555539, -50.311111111111074]
INFO-[58.07999999999834, -50.311111111111074]
INFO-[58.36444444444279, -50.311111111111074]
INFO-[58.648888888887235, -50.311111111111074]
INFO-[58.93333333333168, -50.311111111111074]
INFO-[59.21777777777613, -50.311111111111074]
INFO-[59.502222222220574, -50.311111111111074]
INFO-[59.78666666666502, -50.311111111111074]
INFO-[60.07111111110947, -50.311111111111074]
INFO-[60.35555555555391, -50.311111111111074]
INFO-[60.63999999999836, -50.311111111111074]
INFO-[60.924444444442805, -50.311111111111074]
INFO-[61.20888888888725, -50.311111111111074]
INFO-[61.4933333333317, -50.311111111111074]
INFO-[61.777777777776144, -50.311111111111074]
INFO-[62.06222222222059, -50.311111111111074]
INFO-[62.34666666666504, -50.311111111111074]
INFO-[62.63111111110948, -50.311111111111074]
INFO-[62.91555555555393, -50.311111111111074]
INFO-[63.199999999998376, -50.311111111111074]
INFO-[63.48444444444282, -50.311111111111074]
INFO-[63.76888888888727, -50.311111111111074]
INFO-[64.05333333333171, -50.311111111111074]
INFO-[64.33777777777615, -50.311111111111074]
INFO-[64.6222222222206, -50.311111111111074]
INFO-[64.90666666666505, -50.311111111111074]
INFO-[65.19111111110949, -50.311111111111074]
INFO-[65.47555555555394, -50.311111111111074]
INFO-[65.75999999999839, -50.311111111111074]
INFO-[66.04444444444283, -50.311111111111074]
INFO-[66.32888888888728, -50.311111111111074]
INFO-[66.61333333333172, -50.311111111111074]
INFO-[66.89777777777617, -50.311111111111074]
INFO-[67.18222222222062, -50.311111111111074]
INFO-[67.46666666666506, -50.311111111111074]
INFO-[67.75111111110951, -50.311111111111074]
INFO-[68.03555555555396, -50.311111111111074]
INFO-[68.3199999999984, -50.311111111111074]
INFO-[68.60444444444285, -50.311111111111074]
INFO-[68.8888888888873, -50.311111111111074]
INFO-[69.17333333333174, -50.311111111111074]
INFO-[69.45777777777619, -50.311111111111074]
INFO-[69.74222222222063, -50.311111111111074]
INFO-[70.02666666666508, -50.311111111111074]
INFO-[70.31111111110953, -50.311111111111074]
INFO-[70.59555555555397, -50.311111111111074]
INFO-[70.87999999999842, -50.311111111111074]
INFO-[71.16444444444286, -50.311111111111074]
INFO-[71.44888888888731, -50.311111111111074]
INFO-[71.73333333333176, -50.311111111111074]
INFO-[72.0177777777762, -50.311111111111074]
INFO-[72.30222222222065, -50.311111111111074]
INFO-[72.5866666666651, -50.311111111111074]
INFO-[72.87111111110954, -50.311111111111074]
INFO-[73.15555555555399, -50.311111111111074]
INFO-[73.43999999999843, -50.311111111111074]
INFO-[73.72444444444288, -50.311111111111074]
INFO-[74.00888888888733, -50.311111111111074]
INFO-[74.29333333333177, -50.311111111111074]
INFO-[74.57777777777622, -50.311111111111074]
INFO-[74.86222222222067, -50.311111111111074]
INFO-[75.14666666666511, -50.311111111111074]
INFO-[75.43111111110956, -50.311111111111074]
INFO-[75.715555555554, -50.311111111111074]
INFO-[75.99999999999845, -50.311111111111074]
INFO-[76.2844444444429, -50.311111111111074]
INFO-[76.56888888888734, -50.311111111111074]
INFO-[76.85333333333179, -50.311111111111074]
INFO-[77.13777777777624, -50.311111111111074]
INFO-[77.42222222222068, -50.311111111111074]
INFO-[77.70666666666513, -50.311111111111074]
INFO-[77.99111111110957, -50.311111111111074]
INFO-[78.27555555555402, -50.311111111111074]
INFO-[78.55999999999847, -50.311111111111074]
INFO-[78.84444444444291, -50.311111111111074]
INFO-[79.12888888888736, -50.311111111111074]
INFO-[79.4133333333318, -50.311111111111074]
INFO-[79.69777777777625, -50.311111111111074]
INFO-[79.9822222222207, -50.311111111111074]
INFO-[80.26666666666515, -50.311111111111074]
INFO-[80.55111111110959, -50.311111111111074]
INFO-[80.83555555555404, -50.311111111111074]
INFO-[81.11999999999848, -50.311111111111074]
