New Start: 2023-12-07-21-48
[-9, 12]
[-8.715555555555556, 12]
[-8.431111111111111, 12]
[-8.146666666666667, 12]
[-7.862222222222222, 12]
[-7.5777777777777775, 12]
[-7.293333333333333, 12]
[-7.0088888888888885, 12]
[-6.724444444444444, 12]
[-6.4399999999999995, 12]
[-6.155555555555555, 12]
[-5.8711111111111105, 12]
[-5.586666666666666, 12]
[-5.3022222222222215, 12]
[-5.017777777777777, 12]
[-4.7333333333333325, 12]
[-4.448888888888888, 12]
[-4.1644444444444435, 12]
[-3.879999999999999, 12]
[-3.5955555555555545, 12]
[-3.31111111111111, 12]
[-3.0266666666666655, 12]
[-2.742222222222221, 12]
[-2.4577777777777765, 12]
[-2.173333333333332, 12]
[-1.8888888888888875, 12]
[-1.604444444444443, 12]
[-1.3199999999999985, 12]
[-1.035555555555554, 12]
[-0.7511111111111095, 12]
[-0.46666666666666506, 12]
[-0.18222222222222062, 12]
[0.10222222222222382, 12]
[0.38666666666666827, 12]
[0.6711111111111128, 12]
[0.9555555555555573, 12]
[1.2400000000000018, 12]
[1.5244444444444463, 12]
[1.8088888888888908, 12]
[2.093333333333335, 12]
[2.3777777777777795, 12]
[2.662222222222224, 12]
[2.9466666666666685, 12]
[3.231111111111113, 12]
[3.5155555555555575, 12]
[3.800000000000002, 12]
[4.084444444444446, 12]
[4.368888888888891, 12]
